league,squad,number_pl,age,poss,mp,starts,min,x90s,gls,ast,g_a,g_pk,pk,p_katt,crd_y,crd_r,x_g,npx_g,x_ag,npx_g_x_ag,goals_per_game,assist_rate,discipline_score,min_per_player
Bundesliga,Augsburg,29,27.6,43.8,33,363,2970,33,34,25,59,33,1,2,78,5,33,31.4,23.7,55.1,1.0303030303030303,0.7352941176470589,88,102.41379310344827
Bundesliga,Bayern Munich,29,28.5,67.9,33,363,2970,33,92,63,155,83,9,10,48,1,80.3,72.5,58.4,131,2.787878787878788,0.6847826086956522,50,102.41379310344827
Bundesliga,Bochum,26,28.8,45.6,33,363,2970,33,30,22,52,29,1,3,71,2,40.5,38,28.9,66.9,0.9090909090909091,0.7333333333333333,75,114.23076923076923
Bundesliga,Dortmund,28,27.4,58.4,33,363,2970,33,66,54,120,62,4,5,68,6,58.7,54.9,46.3,101.2,2,0.8181818181818182,80,106.07142857142857
Bundesliga,Eint Frankfurt,26,25.7,50,33,363,2970,33,65,44,109,62,3,5,51,1,63.1,59.4,43.4,102.9,1.9696969696969697,0.676923076923077,53,114.23076923076923
Bundesliga,Freiburg,26,27.9,48.4,33,363,2970,33,45,34,79,45,0,4,52,2,43.5,40.4,29.9,70.3,1.3636363636363635,0.7555555555555555,56,114.23076923076923
Bundesliga,Gladbach,26,27.3,49.3,33,363,2970,33,53,39,92,49,4,5,53,3,49.6,45.6,36.9,82.5,1.606060606060606,0.7358490566037735,59,114.23076923076923
Bundesliga,Heidenheim,27,27.6,43.2,33,363,2970,33,36,25,61,31,5,5,63,1,38.7,34.7,27.4,62.1,1.0909090909090908,0.6944444444444444,65,110
Bundesliga,Hoffenheim,34,27.2,49.2,33,363,2970,33,46,30,76,43,3,3,66,2,42.2,39.9,32.3,72.2,1.393939393939394,0.6521739130434783,70,87.3529411764706
Bundesliga,Holstein Kiel,27,26.4,44.1,33,363,2970,33,49,29,78,45,4,5,76,3,39.1,35.1,26,61.1,1.4848484848484849,0.5918367346938775,82,110
Bundesliga,Leverkusen,23,27.8,59.4,33,363,2970,33,68,52,120,66,2,5,56,1,55.6,51.6,41.6,93.2,2.0606060606060606,0.7647058823529411,58,129.1304347826087
Bundesliga,Mainz 05,25,28.2,50.4,33,363,2970,33,51,36,87,48,3,3,69,5,47.1,44.8,36.7,81.4,1.5454545454545454,0.7058823529411765,79,118.8
Bundesliga,RB Leipzig,29,26.1,52.3,33,363,2970,33,49,35,84,46,3,4,67,5,45.5,42.3,34.9,77.2,1.4848484848484849,0.7142857142857143,77,102.41379310344827
Bundesliga,St. Pauli,28,27.7,43.8,33,363,2970,33,26,22,48,25,1,2,53,4,34.5,32.9,25.7,58.6,0.7878787878787878,0.8461538461538461,61,106.07142857142857
Bundesliga,Stuttgart,28,25.7,57.4,33,363,2970,33,58,43,101,56,2,6,72,5,59.7,55.1,43.4,98.5,1.7575757575757576,0.7413793103448276,82,106.07142857142857
Bundesliga,Union Berlin,28,28,40,33,363,2970,33,34,24,58,31,3,3,72,1,36.2,33.9,23.3,57.1,1.0303030303030303,0.7058823529411765,74,106.07142857142857
Bundesliga,Werder Bremen,23,28.3,50,33,363,2970,33,49,36,85,47,2,4,73,4,46.9,44.3,36.2,80.4,1.4848484848484849,0.7346938775510204,81,129.1304347826087
Bundesliga,Wolfsburg,27,25.9,46.2,33,363,2970,33,52,37,89,48,4,5,75,3,45.8,41.8,31.5,73.3,1.5757575757575757,0.7115384615384616,81,110
La Liga,Alavés,29,27.3,45.3,35,385,3150,35,35,20,55,29,6,8,99,5,37.7,31.4,23.1,54.5,1,0.5714285714285714,109,108.62068965517241
La Liga,Athletic Club,31,27.6,48.7,35,385,3150,35,50,39,89,47,3,6,62,3,49.5,44.8,34.5,79.3,1.4285714285714286,0.78,68,101.61290322580645
La Liga,Atlético Madrid,24,29.1,52.4,35,385,3150,35,60,45,105,54,6,7,73,3,55.8,50.5,40.6,91,1.7142857142857142,0.75,79,131.25
La Liga,Barcelona,28,25.5,67.9,35,385,3150,35,92,68,160,86,6,7,60,3,86,80.4,64.9,145.3,2.6285714285714286,0.7391304347826086,66,112.5
La Liga,Betis,35,28.3,52.6,35,385,3150,35,51,34,85,45,6,9,70,4,51.6,44.7,35.5,80.2,1.457142857142857,0.6666666666666666,78,90
La Liga,Celta Vigo,30,27.7,53.1,36,396,3240,36,55,38,93,48,7,8,78,6,50.3,44,36,80,1.5277777777777777,0.6909090909090909,90,108
La Liga,Espanyol,27,26,39.7,35,385,3150,35,36,26,62,32,4,4,80,0,30.3,27.1,21.4,48.6,1.0285714285714285,0.7222222222222222,80,116.66666666666667
La Liga,Getafe,30,28.4,42.6,35,385,3150,35,31,18,49,26,5,5,104,6,34.4,30.5,21.6,52.1,0.8857142857142857,0.5806451612903226,116,105
La Liga,Girona,29,28.4,56.9,36,396,3240,36,41,29,70,37,4,5,73,2,40.1,36.3,29.5,65.8,1.1388888888888888,0.7073170731707317,77,111.72413793103448
La Liga,Las Palmas,30,27.6,50.1,36,396,3240,36,38,27,65,35,3,4,106,4,35.2,32.1,25.6,57.7,1.0555555555555556,0.7105263157894737,114,108
La Liga,Leganés,26,28.6,42.1,35,385,3150,35,34,24,58,29,5,7,79,6,31.4,25.9,19.8,45.8,0.9714285714285714,0.7058823529411765,91,121.15384615384616
La Liga,Mallorca,28,29.5,46.7,35,385,3150,35,32,23,55,28,4,5,74,6,37.2,33.3,25.7,59,0.9142857142857143,0.71875,86,112.5
La Liga,Osasuna,25,28.2,46.2,35,385,3150,35,41,23,64,32,9,9,84,0,40.6,34.3,26.6,61,1.1714285714285715,0.5609756097560976,84,126
La Liga,Rayo Vallecano,26,30,51.9,35,385,3150,35,34,25,59,34,0,1,90,3,40.9,40,32.5,72.5,0.9714285714285714,0.7352941176470589,96,121.15384615384616
La Liga,Real Madrid,29,27.5,60,35,385,3150,35,72,50,122,62,10,13,56,4,68.1,58.2,48.8,107,2.057142857142857,0.6944444444444444,64,108.62068965517241
La Liga,Real Sociedad,31,26,54.3,36,396,3240,36,31,20,51,28,3,3,84,4,39.6,37.2,29.5,66.7,0.8611111111111112,0.6451612903225806,92,104.51612903225806
La Liga,Sevilla,35,26.9,50.8,36,396,3240,36,37,30,67,35,2,3,97,6,40.5,38.1,29,67.1,1.0277777777777777,0.8108108108108109,109,92.57142857142857
La Liga,Valencia,32,25.5,47.8,35,385,3150,35,42,25,67,37,5,5,77,1,41.2,37.3,28.2,65.5,1.2,0.5952380952380952,79,98.4375
La Liga,Valladolid,37,26.4,42.6,36,396,3240,36,26,15,41,21,5,5,90,5,32.6,28.8,23.8,52.5,0.7222222222222222,0.5769230769230769,100,87.56756756756756
La Liga,Villarreal,30,27.6,48.3,35,385,3150,35,59,42,101,54,5,7,95,4,60.4,54.8,45.4,100.2,1.6857142857142857,0.711864406779661,103,105
MLS,Atlanta Utd,24,29.3,50.4,12,132,1080,12,10,7,17,9,1,1,25,0,15.6,14.8,12.1,26.9,0.8333333333333334,0.7,25,45
