league,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
Bundesliga,1,Bayern Munich,33,24,7,2,95,32,63,79,2.39,80.3,25.1,55.2,1.67,D W W D W,"75,000",Harry Kane - 25,Manuel Neuer,NA
Bundesliga,2,Leverkusen,33,19,11,3,70,41,29,68,2.06,55.6,33.2,22.5,0.68,D D W D L,"29,945",Patrik Schick - 19,Lukáš Hrádecký,NA
Bundesliga,3,Eint Frankfurt,33,16,9,8,65,45,20,57,1.73,63.1,47.3,15.8,0.48,W D W D D,"57,600","Omar Marmoush, Hugo Ekitike - 15",Kevin Trapp,NA
Bundesliga,4,Freiburg,33,16,7,10,48,50,-2,55,1.67,43.5,40.5,3.1,0.09,W W W D W,"34,156",Ritsu Doan - 9,Noah Atubolu,NA
Bundesliga,5,Dortmund,33,16,6,11,68,51,17,54,1.64,58.7,42,16.7,0.51,D W W W W,"81,365",Serhou Guirassy - 20,Gregor Kobel,NA
Bundesliga,6,Mainz 05,33,14,9,10,53,41,12,51,1.55,47.1,46.9,0.2,0,L D L D W,"32,295",Jonathan Burkardt - 17,Robin Zentner,NA
Bundesliga,7,RB Leipzig,33,13,12,8,51,45,6,51,1.55,45.5,50.8,-5.3,-0.16,W D L D D,"44,616",Benjamin Šeško - 13,Péter Gulácsi,NA
Bundesliga,8,Werder Bremen,33,13,9,11,50,56,-6,48,1.45,46.9,46.5,0.4,0.01,W W D D D,"41,472",Jens Stage - 9,Michael Zetterer,NA
Bundesliga,9,Stuttgart,33,13,8,12,61,51,10,47,1.42,59.7,45.8,13.9,0.42,L D L W W,"59,219",Ermedin Demirović - 14,Alexander Nübel,NA
Bundesliga,10,Gladbach,33,13,6,14,55,56,-1,45,1.36,49.6,61.7,-12.1,-0.37,L L L D L,"52,990",Tim Kleindienst - 16,Moritz Nicolas,NA
Bundesliga,11,Augsburg,33,11,10,12,34,49,-15,43,1.3,33,48.1,-15.1,-0.46,W D L L L,"29,768",Alexis Claude-Maurice - 9,Finn Dahmen,NA
Bundesliga,12,Wolfsburg,33,10,10,13,55,54,1,40,1.21,45.8,51.6,-5.7,-0.17,L D L L D,"24,660",Mohamed Amoura - 10,Kamil Grabara,NA
Bundesliga,13,Union Berlin,33,9,10,14,33,50,-17,37,1.12,36.2,46.1,-9.8,-0.3,D D D D L,"21,953",Benedict Hollerbach - 9,Frederik Rønnow,NA
Bundesliga,14,St. Pauli,33,8,8,17,28,39,-11,32,0.97,34.5,44,-9.5,-0.29,W D D L D,"29,503",Morgan Guilavogui - 6,Nikola Vasilj,NA
Bundesliga,15,Hoffenheim,33,7,11,15,46,64,-18,32,0.97,42.2,54.3,-12.1,-0.37,W L L D D,"25,006",Andrej Kramarić - 11,Oliver Baumann,NA
Bundesliga,16,Heidenheim,33,8,5,20,36,60,-24,29,0.88,38.7,55.4,-16.7,-0.51,L L W D W,"15,000",Marvin Pieringer - 7,Kevin Müller,NA
Bundesliga,17,Holstein Kiel,33,6,7,20,49,77,-28,25,0.76,39.1,58.6,-19.5,-0.59,L D W W L,"14,893",Shuto Machino - 11,Timon Weiner,NA
Bundesliga,18,Bochum,33,5,7,21,31,67,-36,22,0.67,40.5,62.4,-21.9,-0.66,L L D D L,"25,540",Myron Boadu - 7,Patrick Drewes,NA
La Liga,1,Barcelona,35,26,4,5,95,36,59,82,2.34,86,37.6,48.4,1.38,W W W W W,"45,752",Robert Lewandowski - 25,Iñaki Peña,NA
La Liga,2,Real Madrid,35,23,6,6,72,37,35,75,2.14,68.1,40.9,27.2,0.78,W W W W L,"70,140",Kylian Mbappé - 27,Thibaut Courtois,NA
